title,url,author,documentType,sourceName,visualizationType,technology,thumbnail,date
Sticky Force-Directed Graph,http://bl.ocks.org/3750558,Mike Bostock,code viewer,bl.ocks,network,,https://gist.github.com/mbostock/3750558/raw/thumbnail.png,1/22/2013
Stitching States from Counties,http://bl.ocks.org/4134037,Mike Bostock,code viewer,bl.ocks,map,,,11/22/2012
Stowers Group Collaboration Network,http://stowers.org/stowersreport/maps,,,,,,,
Streamgraph,http://bl.ocks.org/1935509,,code viewer,bl.ocks,streamgraph,,,
Streamgraph,http://bl.ocks.org/4060954,Mike Bostock,code viewer,bl.ocks,streamgraph,,https://gist.github.com/mbostock/4060954/raw/thumbnail.png,12/29/2012
Streamgraph,http://bl.ocks.org/582915,Mike Bostock,code viewer,bl.ocks,streamgraph,,https://gist.github.com/mbostock/582915/raw/thumbnail.png,10/11/2012
Streamgraph realtime streaming mouse coordinates,http://bl.ocks.org/byrongibson/5232838,Byron Gibson,code viewer,bl.ocks,streamgraph,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%203-26-13%209.32.07%20AM.png,
Streams,http://bl.ocks.org/4254963,Mike Bostock,code viewer,bl.ocks,streamgraph; small multiples,,https://gist.github.com/mbostock/4254963/raw/thumbnail.png,12/25/2012
Street Extent Visualization Using #d3js and CartoDB,http://gijs.github.com/blog/2013/02/06/street-extent-visualization-using-d3-dot-js-and-cartodb/,Javier de la Torre,standalone visualization,,map,cartodb,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%202-12-13%2011.45.36%20PM.png,
Strikeouts Are Still Soaring,http://www.nytimes.com/interactive/2013/03/29/sports/baseball/Strikeouts-Are-Still-Soaring.html,Shan Carter; Kevin Quealy; Joe Ward,news,nytimes,line chart,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%203-29-13%201.50.12%20PM.png,
Stripe Gross Volume witth D3.js,http://coovtech.com/posts/stripe-d3/,Billy Coover,blog post,,area chart,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%202-20-13%209.22.53%20AM.png,
Stroke Dash Interpolation,http://bl.ocks.org/mbostock/5649592,Mike Bostock,code viewer,bl.ocks,,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%205-26-13%2012.31.37%20AM.png,
stroke-dasharray,http://bl.ocks.org/705856,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/705856/raw/thumbnail.png,10/11/2012
Students's seating habits,http://www.skyrill.com/seatinghabits/,Skyrill.com,,,,,,
style.setProperty,http://bl.ocks.org/1177588,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/1177588/raw/thumbnail.png,10/11/2012
Summer Olympics Home Ground Advantage,http://www.vislives.com/2012/10/summer-olympics-home-ground-advantage.html,,,,,,,
Sunburst,http://bl.ocks.org/4063423,,code viewer,bl.ocks,sunburst,,https://a248.e.akamai.net/camo.github.com/1415e2af369262e466534480edbc7baa883e5b58/687474703a2f2f64336a732e6f72672f65782f73756e62757273742e706e67,
Sunburst Layout with Labels,http://bl.ocks.org/910126,Mike Bostock,code viewer,bl.ocks,sunburst,,,12/1/2012
Sunburst Partition,http://bl.ocks.org/4063423,Mike Bostock,code viewer,bl.ocks,sunburst,,https://gist.github.com/mbostock/4063423/raw/thumbnail.png,11/12/2012
Sunburst with Distortion,http://bl.ocks.org/1306365,Mike Bostock,code viewer,bl.ocks,sunburst,,https://gist.github.com/mbostock/1306365/raw/thumbnail.png,10/11/2012
Sunflower Phyllotaxis,http://www.jasondavies.com/sunflower-phyllotaxis/,Jason Davies,,,math,,,
Sunlight Heatmap,http://bl.ocks.org/4946049,Vladimir Agafonkin,code viewer,bl.ocks,heatmap,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%202-13-13%209.37.38%20AM.png,
"Sunny side of the Earth, for any date and time",http://bl.ocks.org/4645873,Johan Sundström,code viewer,bl.ocks,map,,,
Superformula Explorer,http://bl.ocks.org/1021103,,code viewer,bl.ocks,experiment,,,
Superformula Tweening,http://bl.ocks.org/1020902,Mike Bostock,code viewer,bl.ocks,experiment,,https://gist.github.com/mbostock/1020902/raw/thumbnail.png,10/11/2012
Superformula Tweening,http://bl.ocks.org/1020902,,code viewer,bl.ocks,experiment,,,
SVG feGaussianBlur,http://bl.ocks.org/1342359,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/1342359/raw/thumbnail.png,10/11/2012
SVG foreignObject Example,http://bl.ocks.org/1424037,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/1424037/raw/thumbnail.png,10/11/2012
SVG Geometric Zooming,http://bl.ocks.org/3680999,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/3680999/raw/thumbnail.png,10/11/2012
SVG Group Element and D3.js,http://www.dashingd3js.com/svg-group-element-and-d3js,DashingD3js,tutorial,,,,,
SVG Open Keynote Slides,http://mbostock.github.com/d3/talk/20111018/,Mike Bostock,talks,Microsoft Research,,,,
SVG Path Cleaning,http://bl.ocks.org/2839676,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/2839676/raw/thumbnail.png,10/11/2012
SVG Patterns,http://bl.ocks.org/1178682,Ricardo Marimón,code viewer,bl.ocks,donut chart,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%202-6-13%2011.20.54%20PM.png,
SVG Semantic Zooming,http://bl.ocks.org/3680957,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/3680957/raw/thumbnail.png,10/11/2012
SVG Swarm,http://bl.ocks.org/2647924,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/2647924/raw/thumbnail.png,10/11/2012
SVG to Canvas,http://bl.ocks.org/2294676,,code viewer,bl.ocks,,canvas,,
SVG to Canvas to PNG using Canvg,http://jsfiddle.net/plaliberte/HAXyd/,Phil Laliberte,code viewer,jsfiddle,,canvas; png,,
Swimlane,http://bl.ocks.org/1962173,Bill Scheidel,code viewer,bl.ocks,timeline,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%202-6-13%2011.04.42%20PM.png,
Swiss Cantons,http://bl.ocks.org/4207744,Mike Bostock,code viewer,bl.ocks,map,,https://gist.github.com/mbostock/4207744/raw/thumbnail.png,12/4/2012
Symbol Map,http://bl.ocks.org/4342045,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/4342045/raw/thumbnail.png,12/19/2012
Symbol Map,http://mbostock.github.com/d3/talk/20111116/airports.html,Mike Bostock,,,,,https://a248.e.akamai.net/camo.github.com/0965990c401367a7bcef4c7c9cecd073d7b6d544/687474703a2f2f64336a732e6f72672f65782f616972706f7274732e706e67,
Table of Progress,http://bl.ocks.org/1468715,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/1468715/raw/thumbnail.png,10/11/2012
Table Sorting,http://bl.ocks.org/1226718,,code viewer,bl.ocks,table,,,
Table-driven plot,http://bl.ocks.org/mmparker/3670696,Matt Parker,code viewer,bl.ocks,table; step line chart,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%203-28-13%201.13.18%20PM.png,
Tag Cloud,http://www.jasondavies.com/wordcloud/,Jason Davies,,,tag cloud,,,
TAGSExplorer: Visualising Twitter graphs from a Google Spreadsheet,http://mashe.hawksey.info/2011/10/tagsexplorer-intro/,Martin Hawksey,blog post,,network,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%204-12-13%209.18.01%20AM.png,
Talk at JS.geo 2013,http://chelm.github.com/jsgeo/,Chris Helm,talks,,map,,,
Tampa Bay Rays Streamgraph,http://graphicbaseball.com/streamgraphs/2012rays.html,Will Turman,standalone visualization,,streamgraph,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%202-19-13%208.37.43%20AM.png,
Telostats: Public bike stations in Tel Aviv,http://telostats.com/,Idan Gazit; Yuval Adam,standalone visualization,,map; voronoi; pie chart,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%204-22-13%209.34.00%20AM.png,
Templating ala Mustache with Chernoff faces example,http://bl.ocks.org/2295155,,code viewer,bl.ocks,chernoff faces,,,
Tetris,http://d3tetris.herokuapp.com/#,Nikolay Smirnov,standalone visualization,,game,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%205-31-13%209.57.27%20AM.png,
Text on arc path,http://www.jeromecukier.net/projects/agot/littleTextPaths.html,Jerome Cukier,standalone visualization,,,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%203-28-13%208.00.07%20AM.png,
The Amazing Pie,http://bl.ocks.org/4341574,Mike Bostock,code viewer,bl.ocks,donut chart; pie chart,,https://gist.github.com/mbostock/4341574/raw/thumbnail.png,12/19/2012
The Beautiful Table: fancy bar chart of football statistics,http://the-beautiful-table.com/premier-league,Jonathan Ferry,standalone visualization,,,,,
The business of Bond,http://007.lucklaboratories.com/,,,,,,,
The Diabetes Dashboard,http://diabetesvis.herokuapp.com/diabetes/dashboard,,,,,,,
The electoral map: building path to victory,http://elections.nytimes.com/2012/electoral-map,,news,nytimes,news,,,
The Euro Debt Crisis,http://bl.ocks.org/1308257,Mike Bostock,code viewer,bl.ocks,chord diagram,,https://gist.github.com/mbostock/1308257/raw/thumbnail.png,12/12/2012
The Facebook Offering: How It Compares,http://www.nytimes.com/interactive/2012/05/17/business/dealbook/how-the-facebook-offering-compares.html,Jeremy Ashkenas,news,nytimes,scatterplot,,https://a248.e.akamai.net/camo.github.com/3fb6699cd8462e7a82b69c04ac5cb37b968c0f09/687474703a2f2f64336a732e6f72672f65782f66616365626f6f6b2d69706f2e706e67,
The first commented line is your dabblet’s title,http://bl.ocks.org/1548215,Mike Bostock,code viewer,bl.ocks,,,,1/1/2012
The first thing that should be shown in any Trigonometry class,http://www.humblesoftware.com/demos/trig_d3,,,,math,,,
The Gist to Clone All Gists,http://bl.ocks.org/3883098,Mike Bostock,code viewer,bl.ocks,,,,1/4/2013
The last slice of PIE,http://joenoodles.com/2013/01/the-last-slice-of-pie/,Joseph Nudell,standalone visualization,,network; sankey,,,
The Music of Graphs,http://www.jasondavies.com/graph-music/,Jason Davies,,,network,,http://kwout.com/cutout/w/6e/83/6t9_w200.jpg,
The open source card report ,http://osrc.dfm.io/mbostock,Dan Foreman-Mackey,standalone visualization,,,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%205-21-13%203.45.04%20AM.png,
The Polya process,http://www.jeromecukier.net/projects/models/polya.html,Jérôme Cukier,,,math,,,
The Polyglots Project,http://umbrellaco.github.io/polyglots/,Idan Gazit; Yuval Adam; David Katz,blog post,,circular network,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%204-22-13%209.43.01%20AM.png,
The Senate Social Network,http://news.yahoo.com/senate-social-network-diagram-mcconnell-mean-girls-000513361.html,Chris Wilson,news,yahoo,network,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%203-19-13%201.32.14%20PM.png,
The Sentinal project,http://threatwiki.thesentinelproject.org/iranvisualization,Jerome Gagnon,standalone visualization,,map; time series,leaflet; crossfilter,http://s15.postimg.org/m1d3z8xff/sentinelproject.png,
The Story of The US Told In 141 Maps,http://michaelporath.com/projects/manifest-destiny/,Michael Porath,standalone visualization,,map; small multiples,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%202-13-13%202.42.34%20PM.png,
The Wealth & Health of Nations,http://bost.ocks.org/mike/nations/,Mike Bostock,,,bubble chart,,https://a248.e.akamai.net/camo.github.com/300d16f1b84a9acf2f263271e8ec4b33ff640205/687474703a2f2f64336a732e6f72672f65782f6e6174696f6e732e706e67,
Thinking with Joins,http://bost.ocks.org/mike/join/,Mike Bostock,Introductory tutorials,,,,,
Three Little Circles,http://mbostock.github.com/d3/tutorial/circle.html,Mike Bostock,Introductory tutorials,,,,,
Three-Axis Rotation,http://bl.ocks.org/4282586,Mike Bostock,code viewer,bl.ocks,map,,https://gist.github.com/mbostock/4282586/raw/thumbnail.png,12/22/2012
Threshold Choropleth,http://bl.ocks.org/3306362,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/3306362/raw/thumbnail.png,12/4/2012
Threshold Encoding,http://bl.ocks.org/3970883,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/3970883/raw/thumbnail.png,10/28/2012
Threshold Key,http://bl.ocks.org/4573883,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/4573883/raw/thumbnail.png,1/23/2013
Time Series,https://github.com/boorad/d3-tsline,,source code,github code,,,,
Timeline,http://bl.ocks.org/2338034,Bill Scheidel,code viewer,bl.ocks,timeline,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%202-6-13%2011.03.23%20PM.png,
Timeline,http://bl.ocks.org/rengel-de/5603464,Reinhard Engel,,,timeline,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%205-18-13%2012.40.42%20PM.png,
Timeline of earthquake in Christchurch 2010,http://bl.ocks.org/4718717,Tom Nightingale,code viewer,bl.ocks,scatterplot; timeline; map,leaflet,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%202-8-13%2010.08.43%20AM.png,
Tissot’s Indicatrix ,http://bl.ocks.org/mbostock/5628479,Mike Bostock,code viewer,bl.ocks,map,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%205-22-13%209.22.02%20AM.png,
Tmcw’s bl.ocks,http://bl.ocks.org/tmcw,Tom MacWright,code viewer,bl.ocks,,,,
Tobler World-in-a-Square,http://bl.ocks.org/4476496,Mike Bostock,code viewer,bl.ocks,map,,https://gist.github.com/mbostock/4476496/raw/thumbnail.png,1/7/2013
Tooltip on a stream graph,http://bl.ocks.org/4631136,Will Turman,code viewer,bl.ocks,streamgraph,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%202-12-13%2010.29.53%20PM.png,
Tooltips for D3.js visualizations,http://labratrevenge.com/d3-tip/,Justin Palmer,code plugin,,tooltips,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%205-28-13%209.25.33%20AM.png,
TopoJSON Examples,http://bl.ocks.org/4090846,Mike Bostock,code viewer,bl.ocks,map,topojson,,1/28/2013
TopoJSON Points,http://bl.ocks.org/4408297,Mike Bostock,code viewer,bl.ocks,map,topojson,https://gist.github.com/mbostock/4408297/raw/thumbnail.png,1/2/2013
"TopoJSON vectors on raster image tiles, with zoom and pan",http://bl.ocks.org/mbostock/5342063,Mike Bostock,code viewer,bl.ocks,map,topojson,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%204-8-13%209.05.39%20PM.png,
Topology-Preserving Geometry Simplification,http://www.jasondavies.com/maps/simplify/,Jason Davies,,,math,,,
Towards Reusable Charts,http://bost.ocks.org/mike/chart/,Mike Bostock,Specific tutorials,,,,,
TradeArc - Arc Diagram of Offseason NHL Trades,http://tradearc.laserdeathstehr.com/,Nathan Stehr,,,arc diagram,,,
Traffic entering stations in Paris,http://labs.data-publica.com/ratp/,datapublica,standalone visualization,,metro map,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%204-12-13%209.19.38%20AM.png,
Transform Interpolation,http://bl.ocks.org/3173784,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/3173784/raw/thumbnail.png,10/11/2012
Transform Transitions,http://bl.ocks.org/1345853,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/1345853/raw/thumbnail.png,10/11/2012
Transition End,http://bl.ocks.org/1171371,Mike Bostock,code viewer,bl.ocks,,,,8/25/2011
Transition Example,http://bl.ocks.org/1175688,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/1175688/raw/thumbnail.png,10/11/2012
Transition from a streamgraph to multiple area charts,http://bl.ocks.org/herrstucki/4699389,Jeremy Stucki,code viewer,bl.ocks,streamgraph; area chart,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%203-22-13%204.36.32%20PM.png,
Transition Speed Test,http://bl.ocks.org/1616423,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/1616423/raw/thumbnail.png,10/11/2012
TransportView,http://transportview.herokuapp.com,Samuel Leach,standalone visualization,,map,crossfilter,https://raw.github.com/samuelleach/transportview/master/public/images/transportview_logo.png,
Tree Layout from CSV,http://bl.ocks.org/2949981,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/2949981/raw/thumbnail.png,12/15/2012
Tree Layout Orientations,http://bl.ocks.org/3184089,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/3184089/raw/thumbnail.png,10/11/2012
Treemap,http://bl.ocks.org/4063582,Mike Bostock,code viewer,bl.ocks,treemap,,https://gist.github.com/mbostock/4063582/raw/thumbnail.png,1/2/2013
Treemap,http://bl.ocks.org/972398,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/972398/raw/thumbnail.png,12/19/2012
Tributary,http://enjalot.com/tributary/2165875/sinwaves.js,,,,,,,
Trisul Network Analytic,http://trisul.org/,,product,,,,,
TruliaTrends,http://trends.truliablog.com/2011/09/house-hunter-by-day-not-so-much-after-midnight/,,,,calendar; heatmap; map,,https://a248.e.akamai.net/camo.github.com/c43dcd1bf4e779e4ee961a4b8d6469ed8b56a78b/687474703a2f2f64336a732e6f72672f65782f686f7573652d686561746d61702e706e67,
TruliaTrends,http://trends.truliablog.com/2012/02/where-are-house-hunters-searching/,,,,,,https://a248.e.akamai.net/camo.github.com/b1020617dc88efaf705e30318f16e56487ccaafa/687474703a2f2f64336a732e6f72672f65782f686f7573652d6d61702e706e67,
Try D3 Now,http://christopheviau.com/d3_tutorial/,Christophe Viau,Introductory tutorials,,,,,
Trying out D3’s geographic features,http://eyeseast.github.com/visible-data/2012/12/14/mapping-with-d3/,Goran Halusa,code example,,map,,,
Tübingen,http://www.jasondavies.com/tuebingen/,Jason Davies,,,,,,
Tweening Polygons,http://lemur.ecs.soton.ac.uk/~cjg/d3/campus/oook.php?site=1,Chriﬆopher Guetteridge,standalone visualization,,,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%203-19-13%203.13.25%20PM.png,
Tweitgeist: Live Top Hashtags on Twitter,http://tweitgeist.colinsurprenant.com/,Colin Surprenant,standalone visualization,,line chart; stacked bar chart; streamgraph,twitter; storm; ruby; redis,,
Twitter Activity During Hurricane Sandy,http://stanford.edu/~c0chran/cgi-bin/WordRiver/,,,,,,,
Twitter Influencer Visualization,http://www.influencermoth.com/,Erik Driessen,,,,,,
Twitter SVG Logo,http://bl.ocks.org/3094619,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/3094619/raw/thumbnail.png,10/11/2012
Two Point Equidistant,http://bl.ocks.org/4522565,Mike Bostock,code viewer,bl.ocks,map,,https://gist.github.com/mbostock/4522565/raw/thumbnail.png,1/20/2013
Two Point Equidistant,http://bl.ocks.org/4525362,Mike Bostock,code viewer,bl.ocks,map,,https://gist.github.com/mbostock/4525362/raw/thumbnail.png,1/26/2013
U.S. Airports,http://bl.ocks.org/4360892,Mike Bostock,code viewer,bl.ocks,map; voronoi,,https://gist.github.com/mbostock/4360892/raw/thumbnail.png,12/22/2012
U.S. Counties TopoJSON,http://bl.ocks.org/4122298,Mike Bostock,code viewer,bl.ocks,map,topojson,https://gist.github.com/mbostock/4122298/raw/thumbnail.png,11/23/2012
U.S. Counties TopoJSON Mesh,http://bl.ocks.org/4090870,Mike Bostock,code viewer,bl.ocks,map,topojson,https://gist.github.com/mbostock/4090870/raw/thumbnail.png,11/30/2012
U.S. Land TopoJSON,http://bl.ocks.org/4134057,Mike Bostock,code viewer,bl.ocks,map,topojson,https://gist.github.com/mbostock/4134057/raw/thumbnail.png,11/23/2012
U.S. Population Pyramid,http://vis.stanford.edu/jheer/d3/pyramid/shift.html,Jeff Heer,,,,,,
U.S. States TopoJSON,http://bl.ocks.org/4090848,Mike Bostock,code viewer,bl.ocks,map,topojson,https://gist.github.com/mbostock/4090848/raw/thumbnail.png,1/16/2013
U.S. TopoJSON,http://bl.ocks.org/4108203,Mike Bostock,code viewer,bl.ocks,map,topojson,https://gist.github.com/mbostock/4108203/raw/thumbnail.png,11/23/2012
U.S. TopoJSON,http://bl.ocks.org/4136647,Mike Bostock,code viewer,bl.ocks,map,topojson,https://gist.github.com/mbostock/4136647/raw/thumbnail.png,11/30/2012
Uber Rides by Neighborhood,http://bost.ocks.org/mike/uberdata/,Mike Bostock,standalone visualization,,chord diagram,,https://a248.e.akamai.net/camo.github.com/811ea1b6b8f2456bb54627a40341d1b97b287847/687474703a2f2f64336a732e6f72672f65782f756265722e706e67,
UK University Statistics,http://keminglabs.com/ukuni/,Kevin Lynagh,,,,,,
UMLS (Unified Medical Language System) Visualizer,https://ncc.cchmc.org/prod/umls_visualizer/index.do,,product,,network,,,
UN Global Pulse 2010 Visualization,http://www.visualizing.org/visualizations/un-global-pulse-visualization,Eduardo Graells; Ruth Garcia,,,,,,
Underscore’s Equivalents in D3,http://bl.ocks.org/3934356,Mike Bostock,code viewer,bl.ocks,,,,1/16/2013
Understanding the D3 Parallel Plot Example,http://charlesmartinreid.com/wordpress/2012/08/d3-and-the-parallel-plot-part-1-of-2/,Charles Martin Reid,Specific tutorials,,parallel coordinates,,,
Unit circle animation,http://tributary.io/inlet/5210686,Ian Johnson,code viewer,tributary,math,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%204-12-13%209.14.17%20AM.png,
United Kingdom Peace Index,http://www.visionofhumanity.org/ukpeaceindex/#/UKPI/,Vision of Humanity,standalone visualization,,,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%204-26-13%201.22.15%20PM.png,
University of Washington Departments,http://www.sorens.in/posts/2012-8-11-uw-courses,Matthew Sorensen,,,,,,
Unknown Pleasures,http://bl.ocks.org/4289018,Tom MacWright; Christopher Manning,code viewer,bl.ocks,line chart,simplex noise,,
Update-Only Transition,http://bl.ocks.org/3900925,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/3900925/raw/thumbnail.png,10/25/2012
Urban Water Explorer,http://www.visualizing.org/visualizations/urban-water-explorer/,Jan Willem Tulp,,,,,,
US Census Visualization,http://ccarpenterg.github.com/blog/us-census-visualization-with-d3js/,Cristian Carpenter,blog post,,map,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%203-6-13%201.24.43%20AM.png,
US Elections 2012 / Twitter,http://hotspots.io/election,,,,,,,
US energy consumption since 1775,http://theoldbeggar.com/visuals/us-energy-use/,Nikhil Sonnad,standalone visualization,,area chart; donut chart,,,
US energy consumption since 1775,http://theoldbeggar.com/visuals/us-energy-use/,Nikhil Sonnad ,standalone visualization,,stacked line chart; donut chart,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%203-29-13%205.18.43%20PM.png,
US History in Maps,http://michaelporath.com/talks/d3.geo/,Michael Porath,talk slides,,map,,,
Use the Force! Slides,http://mbostock.github.com/d3/talk/20110921/,Mike Bostock,talks,Trulia,network,,,
Use the Force! Video,http://vimeo.com/29458354,Mike Bostock,talks,Trulia,,,,
Using and Abusing the force,http://vallandingham.me/force_talk/#0,Jim Vallandingham,slides,,force,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%205-17-13%201.41.50%20PM.png,
Using d3 visualization for fraud detection and trending,http://www.hiregion.com/2012/08/using-d3-visualization-for-fraud.html,,blog post,,parallel coordinates,,,
Using Inkscape with d3,http://christopheviau.com/d3_tutorial/d3_inkscape/,Christophe Viau,Specific tutorials,,,,,
Using Plunker for development and hosting your D3.js creations,http://www.d3noob.org/2012/12/using-plunker-for-development-and.html,d3noob,blog post,,,plunker,,
Using Selections in D3 to Make Data-Driven Visualizations,http://blog.visual.ly/using-selections-in-d3-to-make-data-driven-visualizations/,Ian Johnson,talks,,,,,
Using SMASH for custom D3.js builds,https://github.com/mbostock/smash/wiki,Mike Bostock,code library,github,,,,
Using SVG and canvas on the same force-directed layout,http://bl.ocks.org/4485778,Sujay Vennam,code viewer,bl.ocks,bubble chart,canvas,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%204-23-13%208.29.30%20PM.png,
Using the D3.js Visualization Library with AngularJS,http://briantford.com/blog/angular-d3.html,Brian Ford,,,,angular,,
UT1 - UTC,http://bl.ocks.org/3025699,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/3025699/raw/thumbnail.png,11/29/2012
Van der Grinten IV,http://bl.ocks.org/4489365,Mike Bostock,code viewer,bl.ocks,map,,https://gist.github.com/mbostock/4489365/raw/thumbnail.png,1/8/2013
Van der Grinten Projection,http://bl.ocks.org/3796831,Mike Bostock,code viewer,bl.ocks,map,,https://gist.github.com/mbostock/3796831/raw/thumbnail.png,12/23/2012
Van Wijk and Nuij Zooming,http://bl.ocks.org/600164,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/600164/raw/thumbnail.png,10/11/2012
van Wijk Smooth Zooming,http://bl.ocks.org/3828981,Mike Bostock,code viewer,bl.ocks,,,https://gist.github.com/mbostock/3828981/raw/thumbnail.png,1/23/2013
Variable-width Histogram,http://bl.ocks.org/1624660,Mike Bostock,code viewer,bl.ocks,histogram,,https://gist.github.com/mbostock/1624660/raw/thumbnail.png,10/11/2012
Various visualisations especially with d3.geo,http://www.larsko.org/VisualisationPlayground,Lars Kotthoff,,,,,,
Vector Tiles,http://bl.ocks.org/mbostock/5593150,Mike Bostock,code viewer,bl.ocks,map,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%205-18-13%204.39.43%20PM.png,
Vega for time series chart with shaded blocks,http://bl.ocks.org/timelyportfolio/5322390,Kenton Russel,code viewer,bl.ocks,line chart,vega,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%204-9-13%209.56.59%20AM.png,
Vegetable Nutrition w/ Parallel Coordinates,http://exposedata.com/parallel/,Kai Chang,,,parallel coordinates,,https://a248.e.akamai.net/camo.github.com/4e1f8cd7b395824b83d37461049c091509f4b9f8/687474703a2f2f64336a732e6f72672f65782f6e75747269656e742e706e67,
Vélib network visualization,http://datavelib.com/,Cyril Gantzer,standalone visualization,,voronoi,,,
Venn Diagram with Clipping,http://bl.ocks.org/1067636,Mike Bostock,code viewer,bl.ocks,venn diagram,,https://gist.github.com/mbostock/1067636/raw/thumbnail.png,12/20/2012
Venn Diagram with Opacity,http://bl.ocks.org/1067616,Mike Bostock,code viewer,bl.ocks,venn diagram,,https://gist.github.com/mbostock/1067616/raw/thumbnail.png,12/20/2012
Venn Diagrams with 3+ circles,http://www.benfrederickson.com/2013/05/09/venn-diagrams-with-d3.js.html,Ben Frederickson,blog post,,venn diagram,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%205-10-13%2012.48.40%20AM.png,
Vertical Bullet Charts,http://bl.ocks.org/jasondavies/5452290,Jason Davies,code viewer,bl.ocks,,,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%205-1-13%2012.56.38%20PM.png,
Very limited in-progress attempt to hook d3.js up to three.js,https://github.com/asutherland/d3-threeD,Andrew Sutherland,source code,github code,dot plot,three.js,,
Veteran Survival Data,http://healthviz.appspot.com/display/hs_20001,Healthvis,standalone visualization,,heatmap,r,http://christopheviau.com/d3_thumbs/TinyGrab%20Screen%20Shot%204-2-13%202.12.21%20PM.png,
